api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
person-controller,deeprest-e20-s20,run-20240605-140549,17900,7899,1631,8370,-,-,8,22,0.03333333333333333,0.7318435754189944,0.8172043010752689,798016,141931,671053,-,-,1430,3462,5.899999999999989,130.6368715083796,145.8602150537631
languagetool,resttestgen,run-20240601-115356,20800,4046,15353,1401,-,-,2,10,0.1898936778323997,0.3410644799613076,0.3285410010649627,412943,1616502,144155,-,-,415,1522,35.72226668190999,66.67353309736843,63.296192758253376
project-tracking-system,morest,run-20240603-145209,21700,189,21097,414,-,-,18,1,0.041666666666666664,0.2966101694915254,0.38784067085953877,22991,2298460,43849,-,-,3389,212,8.916666666666675,63.4568567026193,81.75890985324924
ncs,resttestgen,run-20240531-193110,22000,2129,19871,0,-,-,6,0,0.8571428571428571,0.9054545454545454,0.8620689655172413,238829,2192171,0,-,-,1319,0,174.4702380952384,191.79636363636376,189.6551724137926
project-tracking-system,deeprest-e20-s20,run-20240601-120056,21700,8731,11763,1206,-,-,41,1,0.10416666666666667,0.3844375963020031,0.5241090146750524,937990,1305750,121560,-,-,8496,216,21.71875000000003,82.79044684129424,112.41719077568106
user-management,schemathesis,run-20240603-141006,21000,2344,17252,1404,-,-,7,2,0.054140127388535034,0.4778481012658228,0.4368932038834951,238214,1834474,142812,-,-,1455,420,11.21019108280256,99.71202531645541,91.22572815533995
person-controller,arat-rl,run-20240601-112004,17900,7782,872,9246,-,-,8,43,0.03333333333333333,0.7318435754189944,0.8172043010752689,665170,94139,851691,-,-,1390,6808,5.5333333333333234,128.74301675977625,143.44086021505345
person-controller,morest,run-20240605-101159,17900,930,457,16513,-,-,6,7,0.016666666666666666,0.44692737430167595,0.4731182795698925,85798,40677,1484525,-,-,1073,1252,2.9499999999999944,79.51955307262564,84.00000000000001
blog,arat-rl,run-20240603-211655,25900,3946,14110,7844,-,-,20,9,0.042085427135678394,0.46464646464646464,0.40867279894875164,433323,1935116,998561,-,-,4491,2201,10.125628140703498,114.46212121212095,101.15637319316718
person-controller,arat-rl,run-20240531-194030,17900,7814,902,9184,-,-,8,36,0.03333333333333333,0.7318435754189944,0.8172043010752689,677561,98216,835223,-,-,1418,5717,5.899999999999989,129.72625698323995,144.64516129032225
ncs,arat-rl,run-20240601-115836,22000,10331,11669,0,-,-,6,0,0.8809523809523809,0.92,0.8620689655172413,1136921,1294079,0,-,-,1311,0,181.7976190476193,196.67636363636288,187.58620689655123
restcountries,schemathesis,run-20240603-164046,16300,1165,15045,90,-,-,12,1,0.8136363636363636,0.7403314917127072,0.8409090909090909,98931,1230204,7465,-,-,1729,152,121.92727272727265,112.4990791896872,130.70454545454547
market,deeprest-e20-s20,run-20240531-153622,20100,12598,5893,1609,-,-,12,19,0.047244094488188976,0.3023572076155938,0.37432432432432433,1294540,567208,168352,-,-,2282,3325,9.194881889763773,57.87488667271066,70.08783783783808
restcountries,arat-rl,run-20240531-174046,16300,4015,12193,92,-,-,21,1,0.8954545454545455,0.7771639042357275,0.8465909090909091,312521,1018589,5490,-,-,2775,131,132.64090909090896,120.38489871086578,135.57954545454518
user-management,morest,run-20240605-171029,21000,371,12302,8327,-,-,12,2,0.06369426751592357,0.5379746835443038,0.3786407766990291,57950,1283842,873708,-,-,2508,420,13.312101910828087,112.31803797468379,79.05339805825247
scs,resttestgen,run-20240531-190936,21000,18013,2987,0,-,-,11,0,0.3888888888888889,0.6271186440677966,0.717948717948718,1911792,303708,0,-,-,2303,0,78.42063492063487,129.52542372881368,150.30769230769235
user-management,schemathesis,run-20240605-103411,21000,1675,16941,2384,-,-,6,3,0.04777070063694268,0.4541139240506329,0.42475728155339804,170459,1802378,242663,-,-,1255,630,9.922505307855626,94.94303797468324,88.65776699029112
languagetool,deeprest-e20-s20,run-20240531-174746,20800,8026,12564,210,-,-,2,6,0.22342898517586982,0.3778881878338866,0.3611554845580405,882535,1268512,22553,-,-,414,992,43.20871917990929,74.77903576846145,70.8377263045794
scs,morest,run-20240604-193013,21000,20530,470,0,-,-,11,0,0.32936507936507936,0.5932203389830508,0.717948717948718,2166900,48600,0,-,-,2303,0,68.50793650793675,123.48474576271134,149.58974358974362
languagetool,resttestgen,run-20240601-144834,20800,3729,15630,1441,-,-,2,7,0.18558743950306772,0.3402510607426298,0.3286741214057508,400257,1620960,152383,-,-,416,1301,34.598757669296155,64.32530173456156,60.04299787007468
features-service,deeprest-e20-s20,run-20240531-193440,16400,6227,553,9620,-,-,13,15,0.2857142857142857,0.6083150984682714,0.6473988439306358,519189,45638,788173,-,-,2074,1977,45.60714285714277,98.31072210065639,104.65317919075126
blog,schemathesis,run-20240603-143658,25900,2461,19930,3509,-,-,14,7,0.03015075376884422,0.3771043771043771,0.3403416557161629,344354,2529928,492718,-,-,3205,1753,7.476130653266363,94.36026936026876,85.0972404730618
languagetool,deeprest-e20-s20,run-20240531-211029,20800,16675,4103,22,-,-,2,2,0.21012918714987996,0.3493965308769539,0.3270766773162939,1742646,428475,2479,-,-,416,415,41.64700278190619,70.88702266581663,66.62193823216194
market,resttestgen,run-20240531-202456,20100,3603,12560,3937,-,-,11,20,0.045275590551181105,0.2987307343608341,0.3716216216216216,365486,1268685,395929,-,-,2038,2709,6.811023622047259,56.69446962828639,71.2081081081082
